target_name,repeat,split_seed,model,n_test,n_positive,n_negative,observed_prevalence,performance_prevalence,zedstat_auc,zedstat_auc_ci_low,zedstat_auc_ci_high,brier_score,calibration_intercept,calibration_slope,expected_calibration_error,max_calibration_error,mean_predicted_risk,observed_to_expected_ratio,sklearn_auc_check,auc_zedstat_minus_sklearn
NON FIBROTIC ILA ADJUDICATED,12,425883930,genomic,7695,44,7651,0.005717998700454841,0.005717998700454841,0.48141388261020096,0.3969929998386324,0.5658347653817696,0.12020010892008065,-5.267528563800729,-0.004955850639460866,0.11934996617032025,0.9948051948051948,0.11571123972457625,0.04941610438247148,0.481391321395896,2.256121430493918e-05
NON FIBROTIC ILA ADJUDICATED,12,425883930,combined,7695,44,7651,0.005717998700454841,0.005717998700454841,0.7316862045454545,0.6464581892987442,0.8169142197921648,0.029033233126945515,-3.794426637600063,0.5246702419584135,0.08496074977465436,0.40193859758255174,0.09067874847510922,0.06305775936050108,0.7317388695476528,-5.266500219824888e-05
NON FIBROTIC ILA ADJUDICATED,13,1669951454,zebra,7695,44,7651,0.005717998700454841,0.005717998700454841,0.8454504947552448,0.7730931937852217,0.9178077957252679,0.41600426523826106,-5.683676256830076,0.14504404765968318,0.5855725582869895,0.9665835716657276,0.5912905569874444,0.00967037040061551,0.8454093938997873,4.110085545749875e-05
NON FIBROTIC ILA ADJUDICATED,13,1669951454,genomic,7695,44,7651,0.005717998700454841,0.005717998700454841,0.4987818636363636,0.41330391436374053,0.5842598129089868,0.011296422653444368,-5.340396260569587,-0.02405086441950002,0.024308773044972712,0.1803634196564642,0.02516046207344143,0.22726127539965074,0.49871377478879764,6.808884756598355e-05
NON FIBROTIC ILA ADJUDICATED,13,1669951454,combined,7695,44,7651,0.005717998700454841,0.005717998700454841,0.80253325,0.723959592232598,0.881106907767402,0.006772441767975765,-2.1373777442781146,0.7053230464427566,0.012547098825768451,0.08402716711169766,0.01803417320046363,0.317064643712518,0.8024441249509868,8.91250490131501e-05
NON FIBROTIC ILA ADJUDICATED,14,921838163,zebra,7695,44,7651,0.005717998700454841,0.005717998700454841,0.8498873713286712,0.7782897042796748,0.9214850383776676,0.41658434509021375,-5.593507353748724,0.1355532719987265,0.5859696844005895,0.9681395814658299,0.5916876831010441,0.00966387988758989,0.8498309787193593,5.639260931189494e-05
NON FIBROTIC ILA ADJUDICATED,14,921838163,genomic,7695,44,7651,0.005717998700454841,0.005717998700454841,0.5185413181818181,0.4320277629035689,0.6050548734600674,0.006807315234874673,-5.07286823910714,0.008933607040666787,0.009712270188170903,0.053396188660170325,0.006691905320167278,0.8544649732599486,0.5184497570133435,9.156116847464091e-05
NON FIBROTIC ILA ADJUDICATED,14,921838163,combined,7695,44,7651,0.005717998700454841,0.005717998700454841,0.7718468181818181,0.6899042539648668,0.8537893823987694,0.028424100313740614,-3.5087797871849444,0.7744192166777144,0.09985740644696241,0.3650030553714108,0.10557540514741724,0.05416032922128667,0.771809389146992,3.742903482606419e-05
NON FIBROTIC ILA ADJUDICATED,15,1097924242,zebra,7695,44,7651,0.005717998700454841,0.005717998700454841,0.8152221737967914,0.7382885994377714,0.8921557481558114,0.4119482535246108,-5.506131166675377,0.12186669728060312,0.5818388868889688,0.9717562955973985,0.5875568855894236,0.009731821446903264,0.8151667637029028,5.541009388865259e-05
NON FIBROTIC ILA ADJUDICATED,15,1097924242,genomic,7695,44,7651,0.005717998700454841,0.005717998700454841,0.4328414772727273,0.3520945388281236,0.513588415717331,0.009218218767352989,-5.831646495731489,-0.07667739451153487,0.014456024296048843,0.09988039910498565,0.011619041472366871,0.4921230993153559,0.43277468185976875,6.679541295856462e-05
NON FIBROTIC ILA ADJUDICATED,15,1097924242,combined,7695,44,7651,0.005717998700454841,0.005717998700454841,0.7576702954545455,0.6744315477269109,0.84090904318218,0.010009883891479231,-2.7612210018042043,0.7679906111714604,0.03943777821769098,0.1676833282464226,0.045155776918145825,0.12662828746850918,0.757595560889248,7.473456529749622e-05
NON FIBROTIC ILA ADJUDICATED,16,1277463552,zebra,7695,44,7651,0.005717998700454841,0.005717998700454841,0.827530577272727,0.7523406165017605,0.9027205380436936,0.4147976593455197,-5.627610053100954,0.13553389643626204,0.5843129005471214,0.9694504845335974,0.5900308992475762,0.009691015687054003,0.8274245196706314,0.00010605760209569937
NON FIBROTIC ILA ADJUDICATED,16,1277463552,genomic,7695,44,7651,0.005717998700454841,0.005717998700454841,0.45670636363636363,0.3740230473321355,0.5393896799405917,0.009842158333214958,-5.430666918297043,-0.043521304743085125,0.03891164852520078,0.15310610128168559,0.03712751174901078,0.1540097472491458,0.45659212699468876,0.00011423664167486969
NON FIBROTIC ILA ADJUDICATED,16,1277463552,combined,7695,44,7651,0.005717998700454841,0.005717998700454841,0.7693038409090909,0.6871172576527629,0.8514904241654189,0.01231034862039104,-2.6865834014304553,0.9163902404234425,0.05565011154177455,0.19368493855544294,0.061368110242229386,0.0931754078443188,0.7692696141918466,3.422671724429005e-05
