target_name,model,requested_fpr,metric,n_repeats,mean,sd,median,q025,q975
FILD or FILA ADJUDICATED,combined,0.02,acc_upper,30,0.9716073320628957,0.0007570552781734327,0.9715483914096052,0.970016368562494,0.9727780997904196
FILD or FILA ADJUDICATED,combined,0.02,npv_upper,30,0.9880500690072958,0.000766754151244678,0.9879897768746447,0.9864401325317281,0.9892371631530592
FILD or FILA ADJUDICATED,combined,0.02,LR+_upper,16,24.624238493579004,2.1563178093686464,24.827262644575274,20.042599213191508,27.618975441437264
FILD or FILA ADJUDICATED,combined,0.02,LR-_upper,16,0.7457137365597548,0.033515034071955996,0.7429376782864774,0.6981211709478273,0.8160192665608323
FILD or FILA ADJUDICATED,combined,0.02,threshold_upper,30,0.5356486471996675,0.15141969662687133,0.5919581839477874,0.27805326924249596,0.7157410983332644
FILD or FILA ADJUDICATED,combined,0.02,expected_fp_upper,30,150.86,0.0,150.86,150.86,150.86
FILD or FILA ADJUDICATED,combined,0.02,expected_tn_upper,30,7392.140000000003,2.775128238039221e-12,7392.14,7392.14,7392.14
FILD or FILA ADJUDICATED,combined,0.02,expected_flags_upper,30,201.33666666666662,5.635239084566852,200.86,189.58500000000004,210.13500000000002
FILD or FILA ADJUDICATED,combined,0.02,fpr_lower,30,0.020000000000000004,3.5287580338023136e-18,0.02,0.02,0.02
FILD or FILA ADJUDICATED,combined,0.02,tpr_lower,30,0.26241221298518375,0.03399732381372009,0.2592787554699216,0.1921390746365607,0.3160559953004328
FILD or FILA ADJUDICATED,combined,0.02,ppv_lower,30,0.1947737622587113,0.020690952650988092,0.1943314539276556,0.14625648588242599,0.22552698646702987
FILD or FILA ADJUDICATED,combined,0.02,acc_lower,30,0.9624804781373965,0.00067155207533273,0.962418582680305,0.961092366762609,0.9635401084053521
FILD or FILA ADJUDICATED,combined,0.02,npv_lower,30,0.9850090618792046,0.0006804245685596122,0.9849458782997564,0.9836037341333503,0.9860837410645791
FILD or FILA ADJUDICATED,combined,0.02,LR+_lower,16,11.606905481451015,1.3979987445921798,11.722763565213818,8.674262438244433,13.59218029867652
FILD or FILA ADJUDICATED,combined,0.02,LR-_lower,16,0.5895776211104393,0.037461488976107474,0.5860524041321409,0.5375523676821574,0.6691733814933941
FILD or FILA ADJUDICATED,combined,0.02,threshold_lower,30,0.5356486471996675,0.15141969662687133,0.5919581839477874,0.27805326924249596,0.7157410983332644
FILD or FILA ADJUDICATED,combined,0.02,expected_fp_lower,30,150.86,0.0,150.86,150.86,150.86
FILD or FILA ADJUDICATED,combined,0.02,expected_tn_lower,30,7392.140000000003,2.775128238039221e-12,7392.14,7392.14,7392.14
FILD or FILA ADJUDICATED,combined,0.02,expected_flags_lower,30,201.33666666666662,5.635239084566852,200.86,189.58500000000004,210.13500000000002
FILD or FILA ADJUDICATED,combined,0.02,sensitivity,30,0.33208333333333334,0.037073941345834575,0.32894736842105265,0.2547697368421053,0.38996710526315786
FILD or FILA ADJUDICATED,combined,0.02,specificity,30,0.9800000000000001,1.1292025708167404e-16,0.98,0.98,0.98
FILD or FILA ADJUDICATED,combined,0.05,tpr,30,0.4316776315789475,0.033762725876138294,0.4407894736842105,0.3761513157894737,0.4868421052631579
FILD or FILA ADJUDICATED,combined,0.05,ppv,30,0.1481115604102951,0.009853403289125564,0.15079059701693073,0.13156852999674576,0.1640253713478406
