n_knots,logistic_C,requested_clinical_FPR,lambda_LR_Z,log_lambda_LR_Z,clinical_FPR,joint_same_lambda_FPR,clinical_sensitivity,joint_same_lambda_sensitivity,n_flips,n_upward_flips,n_downward_flips,overall_flip_fraction,control_flip_fraction,case_flip_fraction,median_boundary_distance_flips,q90_boundary_distance_flips,q95_boundary_distance_flips,max_boundary_distance_flips,max_flip_distance_minus_abs_observed_logLR_G,flip_fraction_outside_b_delta_0.05,flip_fraction_outside_b_delta_0.01,flip_fraction_outside_b_delta_0.005
4,3.0,0.005,18.88251146780579,2.9382361745298304,0.0050343615151030845,0.005114272015342816,0.29365079365079366,0.29365079365079366,7,4,3,0.0005483315055616481,0.0005593735016781205,0.0,0.3039223507724942,0.5672489888704509,0.5947445209874854,0.62224005310452,-0.00547813631112648,0.0,0.0,0.0
4,3.0,0.01,7.399634763490227,2.001430642706958,0.010068723030206169,0.011347291034041872,0.29365079365079366,0.3134920634920635,69,45,24,0.005404981983393389,0.005114272015342816,0.01984126984126984,0.3463058607175251,0.7196473059138063,0.752833669034389,0.8148114438388818,-0.0015834906919903746,0.0,0.0,0.0
4,3.0,0.02,4.099607177828858,1.4108911588345192,0.020057535560172608,0.024852165574556495,0.3373015873015873,0.376984126984127,208,139,69,0.016293279022403257,0.015342816046028449,0.06349206349206349,0.30542644393020946,0.7469279192074142,0.7784084681730088,0.8353202328254781,-0.001321125528885192,0.0,0.0,0.0
4,3.0,0.05,2.211895995163397,0.7938500640932922,0.05002397315007192,0.0634489371903468,0.44047619047619047,0.5,595,389,206,0.04660817797274009,0.044909701134729106,0.13095238095238096,0.3313986764454917,0.7657225794479606,0.7918034854989525,0.8565529432951169,-0.000831064157338357,0.0067226890756302525,0.0,0.0
4,3.0,0.1,1.4703801698895054,0.3855209863269758,0.10004794630014384,0.1222630653667892,0.5357142857142857,0.6150793650793651,1240,769,471,0.09713300955663481,0.09605242128815726,0.15079365079365079,0.32208985011465113,0.6803441348075764,0.7306705200409804,0.8227673644250302,-0.0001350898040246573,0.0,0.0,0.0
5,0.3,0.005,28.041553165745214,3.3336874517074393,0.0050343615151030845,0.004954451014863353,0.29365079365079366,0.29365079365079366,3,1,2,0.00023499921666927777,0.0002397315007191945,0.0,0.1345005763809719,0.1907590072968694,0.1977913111613566,0.20482361502584379,-0.026147944264497635,0.0,0.0,0.0
5,0.3,0.01,10.352677750099796,2.337245206065583,0.010068723030206169,0.010787917532363753,0.29365079365079366,0.29365079365079366,21,15,6,0.0016449945166849443,0.0016781205050343615,0.0,0.40746415281261905,0.6585899093079983,0.7335902773591978,1.2012658606677,-0.0038743084066911043,0.047619047619047616,0.047619047619047616,0.047619047619047616
5,0.3,0.02,4.510979129156035,1.5065142317598332,0.020057535560172608,0.02293431356880294,0.3412698412698413,0.36507936507936506,134,88,46,0.010496631677894407,0.00958926002876778,0.05555555555555555,0.27893455339094364,0.7728236098879165,0.8044281580803379,2.03199683497345,-0.0015427677218570746,0.029850746268656716,0.014925373134328358,0.014925373134328358
5,0.3,0.05,1.9277161562649747,0.6563359634958867,0.05002397315007192,0.08678280326034842,0.44047619047619047,0.5277777777777778,870,676,194,0.06814977283409056,0.06632571519897715,0.15873015873015872,0.6000538724422217,0.755934633834814,0.7782848353134402,0.8429851360468552,-1.4411226803456856e-05,0.0,0.0,0.0
5,0.3,0.1,1.241727776100287,0.21650377760360054,0.10004794630014384,0.13688668691066005,0.5317460317460317,0.6190476190476191,1477,980,497,0.11569794767350776,0.11467156784401471,0.16666666666666666,0.2816842725899751,0.5842666426978653,0.6890395259055767,0.8305857564237379,-0.00023290409792020572,0.0,0.0,0.0
