target_name,repeat,split_seed,model,bin,n,cases,mean_pred,obs_rate,obs_rate_lo,obs_rate_hi,prob_min,prob_max
NONFIBROTIC ILD ADJUDICATED,21,1253658352,combined,9,770,5,0.8583254583061449,0.006493506493506494,0.0027767335367897463,0.01510995198893538,9.375809884170229e-222,1.0
NONFIBROTIC ILD ADJUDICATED,22,436760030,zebra,0,770,0,0.23202304416779732,0.0,0.0,0.004964141914221508,0.11052533634471677,0.260739023049146
NONFIBROTIC ILD ADJUDICATED,22,436760030,zebra,1,769,0,0.2861830100787722,0.0,0.0,0.004970565148712315,0.26079868222778724,0.3118102720735881
NONFIBROTIC ILD ADJUDICATED,22,436760030,zebra,2,770,0,0.34188046820994156,0.0,0.0,0.004964141914221508,0.31191926924351776,0.3740323140236602
NONFIBROTIC ILD ADJUDICATED,22,436760030,zebra,3,769,0,0.40890313457689154,0.0,0.0,0.004970565148712315,0.3741246351067505,0.4452869043223011
NONFIBROTIC ILD ADJUDICATED,22,436760030,zebra,4,770,1,0.4901313422119175,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,0.44553944389227945,0.5404236476080435
NONFIBROTIC ILD ADJUDICATED,22,436760030,zebra,5,769,1,0.6029139602606475,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.5405732793825522,0.6657088168850702
NONFIBROTIC ILD ADJUDICATED,22,436760030,zebra,6,769,2,0.7318898244470631,0.002600780234070221,0.0007135177289523901,0.009432753192718508,0.6659008684423973,0.7905015192149166
NONFIBROTIC ILD ADJUDICATED,22,436760030,zebra,7,770,3,0.8463118316594797,0.003896103896103896,0.0013258926936253902,0.011391775387498288,0.7905263866651004,0.9010687245335479
NONFIBROTIC ILD ADJUDICATED,22,436760030,zebra,8,769,1,0.9517410966871066,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.9011530019691986,0.9861373515718582
NONFIBROTIC ILD ADJUDICATED,22,436760030,zebra,9,770,8,0.9966747797779121,0.01038961038961039,0.005273784940225151,0.020366426752402144,0.9861384169293421,1.0
NONFIBROTIC ILD ADJUDICATED,22,436760030,genomic,0,770,3,0.0014197940411190388,0.003896103896103896,0.0013258926936253902,0.011391775387498288,0.0012953867462316268,0.0015602332779373342
NONFIBROTIC ILD ADJUDICATED,22,436760030,genomic,1,769,3,0.0017289277985477365,0.0039011703511053317,0.001327618000260774,0.011406505807889416,0.0015602417915973653,0.001888111083100369
NONFIBROTIC ILD ADJUDICATED,22,436760030,genomic,2,770,1,0.0020994514209506997,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,0.0018896026958575968,0.0022986067550823937
NONFIBROTIC ILD ADJUDICATED,22,436760030,genomic,3,769,1,0.0025509877236700703,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.0023005908090573493,0.0028293354738431883
NONFIBROTIC ILD ADJUDICATED,22,436760030,genomic,4,770,1,0.0032322696371147024,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,0.0028300111596933574,0.003769889920602367
